index,,Lower Salary Estimate,Higher Salary Estimate,Rating,Company,Location,State,Headquarters,"State,Country",Siz,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Count of Competitors,Machine Learning,Count of Machine Learning,
0,Sr Data Scientist,137.00,171.00,3.1,"Healthfirst
",New York, NY,New York, NY,1001 to 5000 ,1993,Nonprofit Organization,Insurance Carriers,Insurance,Unknown,"EmblemHealth, UnitedHealth Group, Aetna",4,No,49,Yes
1,Data Scientist,137.00,171.00,4.2,"ManTech
",Chantilly, VA,Herndon, VA,5001 to 10000 ,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion ,None,0,No,623,No
2,Data Scientist,137.00,171.00,3.8,"Analysis Group
",Boston, MA,Boston, MA,1001 to 5000 ,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million ,None,0,No,,
3,Data Scientist,137.00,171.00,3.5,"INFICON
",Newton, MA,Bad Ragaz, Switzerland,501 to 1000 ,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million ,"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",6,No,,
4,Data Scientist,137.00,171.00,2.9,"Affinity Solutions
",New York, NY,New York, NY,51 to 200 ,1998,Company - Private,Advertising & Marketing,Business Services,Unknown,"Commerce Signals, Cardlytics, Yodlee",4,No,,
5,Data Scientist,137.00,171.00,4.2,"HG Insights
",Santa Barbara, CA,Santa Barbara, CA,51 to 200 ,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
6,Data Scientist / Machine Learning Expert,137.00,171.00,3.9,"Novartis
",Cambridge, MA,Basel, Switzerland,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,Yes,,
7,Data Scientist,137.00,171.00,3.5,"iRobot
",Bedford, MA,Bedford, MA,1001 to 5000 ,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion ,None,0,No,,
8,Staff Data Scientist - Analytics,137.00,171.00,4.4,"Intuit - Data
",San Diego, CA,Mountain View, CA,5001 to 10000 ,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion ,"Square, PayPal, H&R Block",4,No,,
9,Data Scientist,137.00,171.00,3.6,"XSELL Technologies
",Chicago, IL,Chicago, IL,51 to 200 ,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
10,Data Scientist,137.00,171.00,4.5,"Novetta
",Herndon, VA,Mc Lean, VA,501 to 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million ,"Leidos, CACI International, Booz Allen Hamilton",6,No,,
11,Data Scientist,137.00,171.00,4.7,"1904labs
",Saint Louis, MO,Saint Louis, MO,51 to 200 ,2016,Company - Private,IT Services,Information Technology,Unknown,"Slalom, Daugherty Business Solutions",4,No,,
12,"Data Scientist - Statistics, Early Career",137.00,171.00,3.7,"PNNL
",Richland, WA,Richland, WA,1001 to 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion ,"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",12,No,,
13,Data Modeler,137.00,171.00,3.1,"Old World Industries
",Northbrook, IL,Northbrook, IL,201 to 500 ,1973,Company - Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion ,None,0,No,,
14,Data Scientist,137.00,171.00,3.4,"Mathematica Policy Research
",Washington, DC,Princeton, NJ,1001 to 5000 ,1986,Company - Private,Consulting,Business Services,$100 to $500 million ,None,0,No,,
15,Experienced Data Scientist,137.00,171.00,4.4,"Guzman & Griffin Technologies (GGTI)
",Washington, DC,Mays Landing, NJ,1 to 50 ,1997,Company - Private,Federal Agencies,Government,Unknown,None,0,No,,
16,Data Scientist - Contract,137.00,171.00,4.1,"Upside Business Travel
",Remote,,Washington, DC,51 to 200 ,2015,Company - Private,Internet,Information Technology,Unknown,None,0,No,,
17,Data Scientist,137.00,171.00,3.5,"Buckman
",Memphis, TN,Memphis, TN,1001 to 5000 ,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion ,None,0,No,,
18,Data Analyst Ii,137.00,171.00,4.2,"Insight Enterprises, Inc.
",Plano, TX,Tempe, AZ,5001 to 10000 ,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion ,"CDW, PCM, SHI International",4,No,,
19,Medical Lab Scientist,137.00,171.00,3.5,"Tower Health
",West Grove, PA,Reading, PA,5001 to 10000 ,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown,None,0,No,,
20,Data Scientist,137.00,171.00,3.2,"Triplebyte
",New York, NY,San Francisco, CA,51 to 200 ,2015,Company - Private,Computer Hardware & Software,Information Technology,Unknown,None,0,No,,
21,Data Scientist/Machine Learning,137.00,171.00,4.3,"PulsePoint
",New York, NY,New York, NY,51 to 200 ,2011,Company - Private,Internet,Information Technology,$100 to $500 million ,"Crossix Solutions Inc., AppNexus, The Trade Desk",7,Yes,,
22,Human Factors Scientist,137.00,171.00,3.5,"Exponent
",Phoenix, AZ,Menlo Park, CA,1001 to 5000 ,1967,Company - Public,Consulting,Business Services,$100 to $500 million ,None,0,No,,
23,Business Intelligence Analyst I- Data Insights,137.00,171.00,3.5,"Guardian Life
",Appleton, WI,New York, NY,5001 to 10000 ,1860,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion ,Northwestern Mutual,2,No,,
24,Data Scientist,137.00,171.00,3.4,"Spectrum Communications and Consulting
",Chicago, IL,Chicago, IL,51 to 200 ,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million ,None,0,No,,
25,Data Scientist,137.00,171.00,4.7,"Oversight Systems
",Atlanta, GA,Atlanta, GA,51 to 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million ,None,0,No,,
26,Data Scientist - Risk,137.00,171.00,4.2,"LSQ
",Orlando, FL,Orlando, FL,51 to 200 ,1996,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million ,None,0,No,,
27,Data Scientist-Human Resources,137.00,171.00,3.8,"MIT Lincoln Laboratory
",Lexington, MA,Lexington, MA,1001 to 5000 ,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,Unknown,None,0,No,,
28,Data Scientist,137.00,171.00,4.5,"Kingfisher Systems
",McLean, VA,Falls Church, VA,51 to 200 ,2005,Company - Private,Federal Agencies,Government,$25 to $50 million ,None,0,No,,
29,Data Scientist,137.00,171.00,2.8,"Formation
",San Francisco, CA,San Francisco, CA,51 to 200 ,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown,None,0,No,,
30,Data Scientist,75.00,131.00,3.8,"Analysis Group
",Boston, MA,Boston, MA,1001 to 5000 ,1981,Private Practice / Firm,Consulting,Business Services,$100 to $500 million ,None,0,No,,
31,Data Scientist / Machine Learning Expert,75.00,131.00,3.9,"Novartis
",Cambridge, MA,Basel, Switzerland,10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion ,None,0,Yes,,
32,Data Scientist,75.00,131.00,5,"Cohere Health
",Boston, MA,Boston, MA,1 to 50 ,2019,Company - Private,IT Services,Information Technology,Unknown,None,0,No,,
33,Senior Research Statistician- Data Scientist,75.00,131.00,4.8,"Acuity Insurance
",Sheboygan, WI,Sheboygan, WI,1001 to 5000 ,1925,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion ,None,0,No,,
34,Data Engineer,75.00,131.00,3.6,"Chef
",United States,,Seattle, WA,201 to 500 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million ,"Puppet, Ansible, SaltStack",3,No,,
35,Associate Data Scientist,75.00,131.00,3.3,"Puget Sound Energy
",Bothell, WA,Bellevue, WA,1001 to 5000 ,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion ,None,0,No,,
36,Business Intelligence Analyst,75.00,131.00,2.7,"Sandhills Global
",Lincoln, NE,Lincoln, NE,1001 to 5000 ,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million ,None,0,No,,
37,Data Scientist,75.00,131.00,2.7,"A Place for Mom
",Overland Park, KS,New York, NY,501 to 1000 ,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown,"Enlivant, Sunrise Senior Living, Brookdale Senior Living",7,No,,
38,Data Scientist,75.00,131.00,2.2,"Great-Circle Technologies
",Chantilly, VA,Chantilly, VA,1 to 50 ,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million ,None,0,No,,
39,Senior Analyst/Data Scientist,75.00,131.00,3.4,"Edmunds.com
",Santa Monica, CA,Santa Monica, CA,501 to 1000 ,1966,Company - Private,Internet,Information Technology,$100 to $500 million ,"TrueCar, Cars.com, Kelley Blue Book",5,No,,
40,Data Analyst,75.00,131.00,3.1,"Cambridge Associates, LLC
",Boston, MA,Boston, MA,501 to 1000 ,1973,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million ,None,0,No,,
41,Machine Learning Engineer,75.00,131.00,3.4,"Liberty Mutual Insurance
",Portsmouth, NH,Boston, MA,10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion ,"Travelers, Allstate, State Farm",4,Yes,,
42,Data Analyst I,75.00,131.00,2.6,"Cenlar
",Ewing, NJ,Ewing, NJ,1001 to 5000 ,1958,Company - Private,Unknown,Unknown,$100 to $500 million ,None,0,No,,
43,Scientist - Molecular Biology,75.00,131.00,5,"Arsenal Biosciences
",South San Francisco, CA,South San Francisco, CA,51 to 200 ,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown,None,0,No,,
